Tissue,ROI,Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
lung,1,DSP.1001660005750.A7,0.09319017,0.382665162,0,0.083832168,0,0.042952974,0.055009961,0.308993572,0,0,0.207069555,0,0.257697138,0.059714571,0.090029221,0,0,0,0.221891314,0.142571333,0,0,0.007,0.474403704,0.881158868,1.945617141
lung,2,DSP.1001660005750.A8,0.114789246,0.484633198,0,0.055944566,0,0.181186123,0,0.230244873,0,0,0.174180825,0,0.267899624,0.055156215,0.07442874,0.003762017,0,0,0.203192248,0.212726089,0,0,0.024,0.370511583,0.925643709,2.058143763
lung,3,DSP.1001660005750.A9,0.072686719,0.039023438,0.059801275,0.157105748,0.105186528,0.353384714,0.035178185,0.001267238,0.066591702,0,0.164081403,0,0.201302656,0.00123779,0.143702539,0.043827192,0.029417528,0,0.030849216,0.121704299,0.142307223,0,0.003,0.634301281,0.791847888,1.768655394
lung,4,DSP.1001660005750.A10,0.066439901,0,0.24522218,0.058192989,0,0.141415479,0.001042132,0.050525644,0,0.000457378,0.08366901,0.017352013,0.302056546,0,0.031069352,0.056603252,0,0,0.052196646,0.168661069,0.008591816,0,0,0.906149538,0.744483293,1.283495408
lung,6,DSP.1001660005750.A12,0.029956398,0,0.238882991,0.030839113,0,0.13680272,0.009811136,0.018478536,0.067205428,0,0.146999158,0,0.15890414,0.014297623,0.125129431,0,0.022082908,0,0.188064022,0.060296059,0.038183277,0,0.001,0.733958749,0.78294401,1.285932941
lung,8,DSP.1001660005750.B2,0.010631309,0.158451583,0,0.12157242,0,0.310945684,0.019220373,0.124865003,0,0,0.162400794,0,0.082784671,0,0.277326998,0.05105787,0,0,0.174376975,0.129829931,0,0.015695082,0.004,0.604164453,0.803268796,1.639158692
lung,13,DSP.1001660005750.B7,0.059071247,0,0.220796069,0.051825411,0,0.267285002,0.032111344,0.087150449,0,0,0.132298788,0,0.149385709,0,0.149139385,0.036602132,0.044358096,0,0.154514328,0.087773259,0.074444186,0,0.003,0.642871536,0.813197611,1.546755405
GI,4,DSP.1001660005750.E6,0.257724872,0.579151933,0.022692333,0.048543366,0,0.179076237,0.017142438,0.070846679,0,0,0.067730623,0.004402644,0.120994403,0.020670619,0.021086939,0.03688189,0,0.010589077,0.105995499,0.103244903,0.033418664,0,0,0.832289075,0.649027845,1.700193119
GI,10,DSP.1001660005750.E12,0.045392739,0.001832968,0,0.252340072,0.018973245,0,0,0.159032142,0.032133042,0.113299457,0.054313512,0,0.074051775,0,0.02391306,0.05325348,0.127786648,0.011489163,0,0.437465701,0.096625565,0.012289905,0,0.880470013,0.675229008,1.514192473
GI,13,DSP.1001660005750.F3,0.105746766,0,0.184750241,0.037272645,0,0.121820458,0.050056156,0.063415447,0.011967226,0.028223794,0.082111325,0,0.257850369,0,0,0.002748703,0,0.04704799,0.006153006,0.233937825,0.025969623,0,0.001,0.796267217,0.775890179,1.259071575
GI,14,DSP.1001660005750.F4,0.040446092,0.403634914,0,0.079000293,0,0.125650292,0.010748826,0.178610223,0.008402255,0,0.173573537,0,0.173116243,0.051807699,0.034178024,0,0.026577708,0.01111771,0.035799705,0.247598801,0.096379243,0,0,0.840977114,0.701751403,1.696641566
GI,15,DSP.1001660005750.F5,0.508634809,0.22377169,0.004277547,0.036872375,0.035425604,0.176430798,0,0.029183277,0,0,0.210955285,0,0.114707411,0,0.004059634,0.070722606,0.002971845,0.007824599,0.233208721,0.154409367,0,0,0.001,0.717973046,0.739515709,1.813455569
GI,28,DSP.1001660005750.G6,0.109503727,0,0,0.137435737,0,0.184018918,0.163534516,0.094800096,0.0008186,0,0.246507569,0,0.121019672,0,0.028561715,0.043647889,0.040044142,0,0,0.246013417,0.120587129,0,0,0.890512906,0.638642984,1.536493127
